[INFO] [1787952641.228214431] [bev_imu]: MPU-9250 WHO_AM_I=0x71 on /dev/spidev1.0, INT gpio-298 (falling edge, /dev/gpiochip1 offset 42), CLOCK_MONOTONIC
[INFO] [1787952641.228540257] [bev_imu]: rate 200.00 Hz, gyro +/-500 dps DLPF 184 Hz (group delay 2.90 ms), accel +/-4 g DLPF 218 Hz (group delay 1.88 ms)
[WARN] [1787952641.228627074] [bev_imu]: group delays are REPORTED, not applied: the gyro lags the accel by 1.02 ms. camera<->IMU offset Delta is UNMEASURED (see README 4.7)
[INFO] [1787952641.254484547] [bev_imu]: sample loop running SCHED_FIFO at priority 80
[INFO] [1787952651.236971939] [bev_imu]: 2000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952661.228889278] [bev_imu]: 4000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952671.220888990] [bev_imu]: 6000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952681.212767319] [bev_imu]: 8000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952691.204731547] [bev_imu]: 10000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952701.196686754] [bev_imu]: 12000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952711.188647526] [bev_imu]: 14000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952721.180605853] [bev_imu]: 16000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952731.172541402] [bev_imu]: 18000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952741.164536310] [bev_imu]: 20000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952751.156567725] [bev_imu]: 22000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952761.148585202] [bev_imu]: 24000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952771.140602108] [bev_imu]: 26000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952781.132702663] [bev_imu]: 28000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952791.124779371] [bev_imu]: 30000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952801.116944030] [bev_imu]: 32000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952811.109071315] [bev_imu]: 34000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952821.101302493] [bev_imu]: 36000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952831.093431610] [bev_imu]: 38000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952841.085627019] [bev_imu]: 40000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952851.077872145] [bev_imu]: 42000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952861.070115455] [bev_imu]: 44000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952871.062399752] [bev_imu]: 46000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952881.054638754] [bev_imu]: 48000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
